instname,total_enr,murder,manslaughter,forcible,nonforce,robbery,agg_aslt,burglary,vehicle,arson,Total_crimes
Valencia College,341048,0,0,0,0,0,2,1,3,0,6
Virginia Commonwealth University,94881,0,0,6,0,3,5,15,4,0,33
Virginia Polytechnic Institute and State University,371232,1,0,14,0,0,3,30,3,0,51
Walden University,48982,0,0,0,0,0,0,0,0,0,0
Washington State University,109316,0,0,8,0,0,2,28,5,0,43
Wayne County Community College District,122640,0,0,1,0,0,0,0,5,0,6
Wayne State University,123060,0,0,2,0,3,2,18,8,2,35
Weber State University,25301,0,0,2,0,0,0,11,0,0,13
West Virginia University,29617,0,0,4,0,1,7,22,4,1,39
Western Kentucky University,126216,0,0,5,0,3,2,32,1,0,43
Western Michigan University,250860,0,0,3,1,0,2,13,1,2,22
